Country,State,City/Station,WMO,Source Data,Latitude (N+/S-),Longitude (E+/W-),Time Zone (GMT +/-),Elevation (m),URL
CHE,GR,Chur,67860,SRC-TMYx,46.8703,9.5306,1,557.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Chur.067860_TMYx.2009-2023.zip
CHE,GR,Davos-Lake.Davos,67840,SRC-TMYx,46.813,9.8436,1,1595.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Davos-Lake.Davos.067840_TMYx.2009-2023.zip
CHE,GR,Disentis.Sedrun,67820,SRC-TMYx,46.7067,8.8533,1,1198.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Disentis.Sedrun.067820_TMYx.2009-2023.zip
CHE,GR,Grono,67580,SRC-TMYx,46.255,9.1639,1,324.3,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Grono.067580_TMYx.2009-2023.zip
CHE,GR,Ilanz,67890,SRC-TMYx,46.775,9.2153,1,698,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Ilanz.067890_TMYx.2009-2023.zip
CHE,GR,Naluns,67990,SRC-TMYx,46.8172,10.2614,1,2400,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Naluns.067990_TMYx.2009-2023.zip
CHE,GR,Passo.del.Bernina,67970,SRC-TMYx,46.4092,10.0194,1,2260.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Passo.del.Bernina.067970_TMYx.2009-2023.zip
CHE,GR,Piz.Corvatsch,67910,SRC-TMYx,46.4181,9.8211,1,3302.3,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Piz.Corvatsch.067910_TMYx.2009-2023.zip
CHE,GR,Piz.Martegnas,67950,SRC-TMYx,46.5772,9.5294,1,2671.3,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Piz.Martegnas.067950_TMYx.2009-2023.zip
CHE,GR,Poschiavo.Robbia,67940,SRC-TMYx,46.3472,10.0631,1,1079.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Poschiavo.Robbia.067940_TMYx.2009-2023.zip
CHE,GR,San.Bernardino,67830,SRC-TMYx,46.4636,9.1847,1,1640.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_San.Bernardino.067830_TMYx.2009-2023.zip
CHE,GR,Santa.Maria.Val.Mustair,67960,SRC-TMYx,46.6022,10.4264,1,1384.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Santa.Maria.Val.Mustair.067960_TMYx.2009-2023.zip
CHE,GR,Scalottas,68460,SRC-TMYx,46.7214,9.5108,1,2323,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Scalottas.068460_TMYx.2009-2023.zip
CHE,GR,Schiers,67900,SRC-TMYx,46.9756,9.6681,1,626,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Schiers.067900_TMYx.2009-2023.zip
CHE,GR,Scuol,67980,SRC-TMYx,46.7933,10.2833,1,1305.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Scuol.067980_TMYx.2009-2023.zip
CHE,GR,Sils-Segl.Maria,67790,SRC-TMYx,46.4322,9.7622,1,1804.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Sils-Segl.Maria.067790_TMYx.2009-2023.zip
CHE,GR,St.Moritz-Samedam-Engadin.AP,67920,SRC-TMYx,46.5264,9.8789,1,1709.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_St.Moritz-Samedam-Engadin.AP.067920_TMYx.2009-2023.zip
CHE,GR,Valbella,67930,SRC-TMYx,46.755,9.5544,1,1570.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Valbella.067930_TMYx.2009-2023.zip
CHE,GR,Vicosoprano,67880,SRC-TMYx,46.3531,9.6278,1,1089.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Vicosoprano.067880_TMYx.2009-2023.zip
CHE,GR,Weissfluhjoch,67800,SRC-TMYx,46.8333,9.8064,1,2673.3,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Weissfluhjoch.067800_TMYx.2009-2023.zip
CHE,JU,Delemont,66020,SRC-TMYx,47.3517,7.3494,1,439.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/JU_Jura/CHE_JU_Delemont.066020_TMYx.2009-2023.zip
CHE,JU,Fahy.Boncourt,66160,SRC-TMYx,47.4239,6.9411,1,597.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/JU_Jura/CHE_JU_Fahy.Boncourt.066160_TMYx.2009-2023.zip
CHE,LU,Egolzwil,66480,SRC-TMYx,47.1795,8.0047,1,522.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/LU_Lucerne/CHE_LU_Egolzwil.066480_TMYx.2009-2023.zip
CHE,LU,Emmen.AB,66130,SRC-TMYx,47.084,8.296,1,426.7,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/LU_Lucerne/CHE_LU_Emmen.AB.066130_TMYx.2009-2023.zip
CHE,LU,Fluehli,66520,SRC-TMYx,46.8895,8.0203,1,939.8,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/LU_Lucerne/CHE_LU_Fluehli.066520_TMYx.2009-2023.zip
CHE,LU,Luzern,66500,SRC-TMYx,47.0364,8.3008,1,455.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/LU_Lucerne/CHE_LU_Luzern.066500_TMYx.2009-2023.zip
CHE,LU,Mosen,66440,SRC-TMYx,47.2439,8.2328,1,453.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/LU_Lucerne/CHE_LU_Mosen.066440_TMYx.2009-2023.zip
CHE,LU,Schupfheim,66510,SRC-TMYx,46.9469,8.0125,1,743.7,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/LU_Lucerne/CHE_LU_Schupfheim.066510_TMYx.2009-2023.zip
CHE,NE,Chaumont,66080,SRC-TMYx,47.0492,6.9789,1,1136.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/NE_Neuchatel/CHE_NE_Chaumont.066080_TMYx.2009-2023.zip
CHE,NE,Cressier,66060,SRC-TMYx,47.0475,7.0592,1,432.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/NE_Neuchatel/CHE_NE_Cressier.066060_TMYx.2009-2023.zip
CHE,NE,La.Brevine,66170,SRC-TMYx,46.9839,6.6103,1,1050.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/NE_Neuchatel/CHE_NE_La.Brevine.066170_TMYx.2009-2023.zip
CHE,NE,La.Chaux.de.Fonds-Les.Eplatures.AP,66120,SRC-TMYx,47.083,6.7922,1,1018.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/NE_Neuchatel/CHE_NE_La.Chaux.de.Fonds-Les.Eplatures.AP.066120_TMYx.2009-2023.zip
CHE,NE,Neuchatel,66040,SRC-TMYx,47,6.9533,1,485.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/NE_Neuchatel/CHE_NE_Neuchatel.066040_TMYx.2009-2023.zip
CHE,NW,Buochs.AP,68065,SRC-TMYx,46.967,8.4,1,450,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/NW_Nidwalden/CHE_BL_Buochs.AP.068065_TMYx.2009-2023.zip
CHE,NW,Pilatus,66590,SRC-TMYx,46.9789,8.2522,1,2103.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/NW_Nidwalden/CHE_NW_Pilatus.066590_TMYx.2009-2023.zip
CHE,OW,Alpnach.AB,66580,SRC-TMYx,46.9431,8.2858,1,436,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/OW_Obwalden/CHE_OW_Alpnach.AB.066580_TMYx.2009-2023.zip
CHE,OW,Engelberg,66550,SRC-TMYx,46.8219,8.4106,1,1036.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/OW_Obwalden/CHE_OW_Engelberg.066550_TMYx.2009-2023.zip
CHE,OW,Giswil,66570,SRC-TMYx,46.8494,8.1903,1,471.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/OW_Obwalden/CHE_OW_Giswil.066570_TMYx.2009-2023.zip
CHE,OW,Titlis,67400,SRC-TMYx,46.7705,8.4258,1,3094.3,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/OW_Obwalden/CHE_OW_Titlis.067400_TMYx.2009-2023.zip
CHE,SG,Bad.Ragaz,66860,SRC-TMYx,47.0167,9.5025,1,497.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SG_Sankt_Gallen/CHE_SG_Bad.Ragaz.066860_TMYx.2009-2023.zip
CHE,SG,Buchs.Aarau,66330,SRC-TMYx,47.3844,8.0794,1,388.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SG_Sankt_Gallen/CHE_SG_Buchs.Aarau.066330_TMYx.2009-2023.zip
CHE,SG,Ebnat-Kappel,66930,SRC-TMYx,47.2733,9.1086,1,624.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SG_Sankt_Gallen/CHE_SG_Ebnat-Kappel.066930_TMYx.2009-2023.zip
CHE,SG,Pfaefers-St.Margretenberg,68480,ERA5-TMYx,46.9747,9.5022,1,1490,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SG_Sankt_Gallen/CHE_SG_Pfaefers-St.Margretenberg.068480_TMYx.2009-2023.zip
CHE,SG,Quinten,66870,ERA5-TMYx,47.12895,9.21601,1,426,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SG_Sankt_Gallen/CHE_SG_Quinten.066870_TMYx.2009-2023.zip
CHE,SG,Schmerikon,66830,ERA5-TMYx,47.2247,8.9403,1,409.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SG_Sankt_Gallen/CHE_SG_Schmerikon.066830_TMYx.2009-2023.zip
CHE,SG,St.Gallen,66810,SRC-TMYx,47.4256,9.3986,1,777.8,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SG_Sankt_Gallen/CHE_SG_St.Gallen.066810_TMYx.2009-2023.zip
CHE,SG,St.Gallen-Altenrhein.AP,66900,SRC-TMYx,47.4836,9.5667,1,398.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SG_Sankt_Gallen/CHE_SG_St.Gallen-Altenrhein.AP.066900_TMYx.2009-2023.zip
CHE,SH,Hallau,66240,SRC-TMYx,47.6972,8.4706,1,420,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SH_Schaffhausen/CHE_SH_Hallau.066240_TMYx.2009-2023.zip
CHE,SH,Schaffhausen,66200,SRC-TMYx,47.6897,8.62,1,439.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SH_Schaffhausen/CHE_SH_Schaffhausen.066200_TMYx.2009-2023.zip
CHE,SO,Gosgen,66260,SRC-TMYx,47.363,7.9736,1,381.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SO_Solothurn/CHE_SO_Gosgen.066260_TMYx.2009-2023.zip
CHE,SO,Grenchen.AP,66320,SRC-TMYx,47.1792,7.415,1,431.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SO_Solothurn/CHE_SO_Grenchen.AP.066320_TMYx.2009-2023.zip
CHE,SZ,Einsiedeln,66750,SRC-TMYx,47.133,8.7567,1,911.9,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/SZ_Schwyz/CHE_SZ_Einsiedeln.066750_TMYx.2009-2023.zip
CHE,TG,Aadorf.Tanikon,66790,SRC-TMYx,47.48,8.905,1,539.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TG_Thurgau/CHE_TG_Aadorf.Tanikon.066790_TMYx.2009-2023.zip
CHE,TG,Bischofszell,66780,SRC-TMYx,47.4975,9.2347,1,468.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TG_Thurgau/CHE_TG_Bischofszell.066780_TMYx.2009-2023.zip
CHE,TG,Guttingen,66210,SRC-TMYx,47.6017,9.2794,1,441.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TG_Thurgau/CHE_TG_Guttingen.066210_TMYx.2009-2023.zip
CHE,TG,Salen.Reutenen,66230,SRC-TMYx,47.6511,9.0239,1,719.7,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TG_Thurgau/CHE_TG_Salen.Reutenen.066230_TMYx.2009-2023.zip
CHE,TG,Sitterdorf.Flight.School,68420,SRC-TMYx,47.5097,9.2614,1,506,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TG_Thurgau/CHE_TG_Sitterdorf.Flight.School.068420_TMYx.2009-2023.zip
CHE,TG,Steckborn,66710,ERA5-TMYx,47.66861,8.98139,1,400,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TG_Thurgau/CHE_TG_Steckborn.066710_TMYx.2009-2023.zip
CHE,TI,Acquarossa.Comprovasco,67560,SRC-TMYx,46.4594,8.9356,1,576.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Acquarossa.Comprovasco.067560_TMYx.2009-2023.zip
CHE,TI,Andermatt,66950,SRC-TMYx,46.6308,8.5806,1,1438.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Andermatt.066950_TMYx.2009-2023.zip
CHE,TI,Cevio,67520,SRC-TMYx,46.3205,8.6031,1,422.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Cevio.067520_TMYx.2009-2023.zip
CHE,TI,Cimetta,67590,SRC-TMYx,46.2008,8.7906,1,1662.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Cimetta.067590_TMYx.2009-2023.zip
CHE,TI,Locarno.Magadino.AP,67620,SRC-TMYx,46.166,8.882,1,198,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Locarno.Magadino.AP.067620_TMYx.2009-2023.zip
CHE,TI,Locarno.Monti,67600,SRC-TMYx,46.1725,8.7875,1,374.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Locarno.Monti.067600_TMYx.2009-2023.zip
CHE,TI,Lugano,67700,SRC-TMYx,46.0039,8.9601,1,278.9,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Lugano.067700_TMYx.2009-2023.zip
CHE,TI,Matro,67540,SRC-TMYx,46.41,8.9247,1,2171,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Matro.067540_TMYx.2009-2023.zip
CHE,TI,Monte.Generoso,67770,SRC-TMYx,45.9275,9.0178,1,1601.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Monte.Generoso.067770_TMYx.2009-2023.zip
CHE,TI,Piotta-Ambri.AP,67530,SRC-TMYx,46.5147,8.6881,1,991,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Piotta-Ambri.AP.067530_TMYx.2009-2023.zip
CHE,TI,Robiei,67510,SRC-TMYx,46.4431,8.5133,1,1896.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Robiei.067510_TMYx.2009-2023.zip
CHE,TI,Stabio,67710,SRC-TMYx,45.8433,8.9325,1,352.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/TI_Ticino/CHE_TI_Stabio.067710_TMYx.2009-2023.zip
CHE,UR,Altdorf,66720,SRC-TMYx,46.887,8.6217,1,439.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/UR_Uri/CHE_UR_Altdorf.066720_TMYx.2009-2023.zip
