,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Bleienbach,0,1,7,2,0,0,0,0,0,2
Busswil bei Melchnau,0,1,1,2,0,0,0,0,0,2
Gondiswil,0,5,7,0,0,0,0,0,1,2
Langenthal,0,4,4,21,0,88,0,0,2,2
Lotzwil,0,1,4,3,0,35,0,0,0,2
Madiswil,0,16,11,15,1,3,0,2,0,2
Melchnau,0,0,12,9,0,1,0,4,4,2
Oeschenbach,0,1,2,0,0,0,0,0,0,2
Reisiswil,0,1,3,0,0,0,0,0,0,2
Roggwil (BE),0,2,42,21,0,0,0,3,0,2
Rohrbach,0,1,6,0,0,0,0,0,1,2
Rohrbachgraben,0,2,3,0,0,0,0,0,0,2
Rütschelen,0,4,4,3,0,0,0,0,0,2
Schwarzhäusern,0,0,8,1,0,0,0,0,0,2
Thunstetten,0,2,31,10,0,7,0,0,3,2
Ursenbach,0,3,3,5,0,0,0,0,0,2
Wynau,0,1,10,2,0,0,0,0,0,2
Bern,0,0,15,7,0,56,0,18,3,2
Bolligen,0,4,13,30,0,0,0,4,1,2
Bremgarten bei Bern,0,1,3,10,0,3,0,22,1,2
Kirchlindach,0,1,7,9,0,0,0,2,3,2
Köniz,0,11,116,116,0,30,0,2,1,2
Muri bei Bern,0,0,8,3,0,33,0,0,2,2
Oberbalm,0,4,4,0,0,0,0,2,0,2
Stettlen,0,0,26,4,0,0,0,0,0,2
Vechigen,0,38,18,20,0,0,0,0,0,2
Wohlen bei Bern,0,4,25,47,0,4,0,2,1,2
Zollikofen,1,0,9,9,0,20,0,2,1,2
Ittigen,0,0,22,12,0,12,0,0,0,2
Ostermundigen,0,0,11,2,0,0,0,1,0,2
Biel/Bienne,0,1,14,4,0,91,0,1,2,2
Evilard,0,0,2,1,0,21,0,0,0,2
Arch,0,4,8,0,0,33,0,0,0,2
Büetigen,0,0,6,6,0,0,0,2,0,2
Büren an der Aare,0,0,42,6,0,0,0,0,2,2
Diessbach bei Büren,0,2,3,0,0,0,0,0,0,2
Dotzigen,0,1,7,4,0,0,0,1,0,2
Lengnau (BE),0,1,4,5,0,39,0,1,0,2
Leuzigen,0,3,7,3,0,0,0,0,0,2
Meienried,0,0,0,0,0,0,0,0,0,2
Meinisberg,0,1,7,5,0,0,0,0,2,2
Oberwil bei Büren,0,2,4,3,0,0,0,0,0,2
Pieterlen,0,0,25,7,0,0,0,1,1,2
Rüti bei Büren,0,1,10,6,0,0,0,0,0,2
Wengi,0,0,6,1,0,0,0,0,0,2
Aefligen,0,1,1,0,0,8,0,1,0,2
Alchenstorf,0,1,2,1,0,0,0,1,0,2
Bäriswil,0,3,18,10,0,0,0,0,0,2
Burgdorf,0,0,3,11,0,59,0,1,0,2
Ersigen,0,4,8,13,0,0,0,0,0,2
Hasle bei Burgdorf,0,12,9,3,0,0,0,1,0,2
Heimiswil,0,5,2,1,0,0,0,0,0,2
Hellsau,0,1,1,1,0,0,0,0,0,2
Hindelbank,0,2,11,3,0,0,0,0,0,2
Höchstetten,0,1,2,1,0,0,0,0,0,2
Kernenried,0,1,2,4,0,0,0,0,0,2
Kirchberg (BE),1,3,13,14,0,51,0,2,0,2
Koppigen,0,1,24,7,0,0,0,0,1,2
Krauchthal,1,6,12,14,0,0,0,1,0,2
Lyssach,0,0,5,0,0,4,0,0,0,2
Oberburg,0,2,3,1,0,14,0,0,1,2
Rüdtligen-Alchenflüh,0,0,10,0,0,9,0,0,0,2
Rumendingen,0,0,0,0,0,0,0,0,0,2
Rüti bei Lyssach,0,2,1,0,0,0,0,1,0,2
Willadingen,0,1,0,0,0,0,0,0,0,2
Wynigen,0,5,9,15,0,1,0,0,1,2
Corgémont,0,0,18,0,0,0,0,1,0,2
Cormoret,0,0,7,0,0,0,0,0,0,2
Cortébert,0,0,6,1,0,0,0,0,0,2
Courtelary,0,1,12,1,0,0,0,0,1,2
La Ferrière,0,2,9,0,0,0,0,0,0,2
Mont-Tramelan,0,1,1,0,0,0,0,0,0,2
Orvin,0,3,10,7,0,0,0,1,0,2
Renan (BE),0,0,1,0,0,0,0,1,0,2
Romont (BE),0,0,7,1,0,0,0,0,0,2
Saint-Imier,0,1,6,1,0,6,0,0,2,2
Sonceboz-Sombeval,0,1,27,4,0,0,0,0,0,2
Sonvilier,0,0,11,2,0,0,0,0,0,2
Tramelan,0,4,23,9,0,0,0,0,1,2
Villeret,0,0,2,0,0,1,0,0,0,2
Sauge,0,1,6,3,0,0,0,0,1,2
Péry-La Heutte,0,2,11,3,0,1,0,0,1,2
Brüttelen,0,1,13,6,0,0,0,0,0,2
Erlach,0,1,8,2,1,0,0,0,0,2
Finsterhennen,0,1,4,5,0,0,0,0,0,2
Gals,0,0,5,6,0,0,0,0,2,2
Gampelen,0,0,5,1,0,0,0,0,0,2
Ins,0,4,12,6,0,14,0,0,0,2
Lüscherz,0,1,2,5,0,0,0,0,1,2
Müntschemier,0,1,8,1,0,0,0,0,0,2
Siselen,0,0,8,1,0,0,0,0,0,2
Treiten,0,0,5,5,0,0,0,0,0,2
Tschugg,0,1,4,2,0,1,0,0,0,2
Vinelz,1,4,4,2,0,0,1,1,3,2
Bätterkinden,0,2,7,15,0,9,0,0,0,2
Deisswil bei Münchenbuchsee,0,0,0,0,0,0,0,0,0,2
Fraubrunnen,0,3,32,27,0,0,0,2,1,2
Jegenstorf,0,6,29,9,0,1,0,9,0,2
Iffwil,0,3,11,8,0,0,0,2,0,2
Mattstetten,0,0,2,0,0,0,0,0,0,2
Moosseedorf,0,0,4,5,0,14,0,0,0,2
Münchenbuchsee,2,2,38,13,0,0,0,18,0,2
Urtenen-Schönbühl,0,0,6,3,0,12,0,8,0,2
Utzenstorf,0,3,29,10,0,16,0,0,1,2
Wiggiswil,0,0,0,0,0,0,0,0,0,2
Wiler bei Utzenstorf,0,1,5,5,0,0,0,0,0,2
Zielebach,0,0,1,3,0,0,0,0,0,2
Zuzwil (BE),0,1,0,1,0,0,0,0,0,2
Adelboden,0,14,28,5,0,0,0,0,0,2
Aeschi bei Spiez,0,7,19,2,0,0,0,0,0,2
Frutigen,0,14,50,20,0,0,0,4,1,2
Kandergrund,0,5,4,1,0,0,0,0,0,2
Kandersteg,0,1,10,5,0,0,0,0,0,2
Krattigen,0,2,5,0,0,0,0,1,1,2
Reichenbach im Kandertal,0,17,19,4,0,0,1,0,2,2
Beatenberg,0,2,8,1,0,0,0,0,0,2
Bönigen,0,0,21,11,1,2,0,0,1,2
Brienz (BE),0,18,38,8,0,0,0,0,4,2
Brienzwiler,0,2,6,2,0,0,0,0,0,2
Därligen,0,2,4,0,0,0,0,0,0,2
Grindelwald,0,12,45,3,0,0,0,4,2,2
Gsteigwiler,0,6,4,0,0,0,0,0,0,2
Gündlischwand,0,1,1,0,0,0,0,0,0,2
Habkern,0,1,2,2,0,0,0,0,0,2
Hofstetten bei Brienz,0,5,3,1,0,0,0,0,0,2
Interlaken,0,3,17,5,0,5,0,1,3,2
Iseltwald,0,1,3,0,0,0,0,0,0,2
Lauterbrunnen,1,3,10,2,0,1,0,0,0,2
Leissigen,0,0,3,6,0,0,0,0,0,2
Lütschental,0,0,0,1,0,0,0,0,0,2
Matten bei Interlaken,0,1,38,7,0,2,0,0,0,2
Niederried bei Interlaken,0,0,2,4,0,0,0,0,1,2
Oberried am Brienzersee,0,2,3,2,0,0,0,0,0,2
Ringgenberg (BE),0,3,21,12,0,0,0,1,0,2
Saxeten,0,2,1,0,0,0,0,0,0,2
Schwanden bei Brienz,0,3,6,5,0,0,0,0,0,2
Unterseen,0,2,36,14,0,1,0,2,0,2
Wilderswil,0,7,19,5,1,0,0,0,1,2
Arni (BE),0,6,3,5,0,0,0,0,0,2
Biglen,0,3,9,0,0,0,0,0,1,2
Bowil,0,6,8,6,0,0,0,0,0,2
Brenzikofen,0,1,2,1,0,0,0,0,0,2
Freimettigen,0,2,3,1,0,0,0,0,0,2
Grosshöchstetten,0,3,18,25,0,0,0,0,1,2
Häutligen,0,1,0,0,0,0,0,0,0,2
Herbligen,0,2,3,0,0,0,0,0,0,2
Kiesen,0,1,9,4,0,0,0,0,0,2
Konolfingen,0,2,9,3,0,0,0,0,2,2
Landiswil,2,7,1,0,0,0,0,0,0,2
Linden,0,8,11,4,0,0,0,5,0,2
Mirchel,0,1,0,0,0,0,0,0,0,2
Münsingen,0,3,33,61,0,0,0,1,0,2
Niederhünigen,0,1,3,1,0,0,0,1,0,2
Oberdiessbach,1,9,41,12,0,0,0,2,0,2
Oberthal,0,7,4,3,0,0,0,0,0,2
Oppligen,0,0,1,2,0,0,0,0,0,2
Rubigen,0,1,9,1,0,1,0,9,1,2
Walkringen,0,10,12,3,0,0,0,0,0,2
Worb,0,4,25,16,0,0,0,8,0,2
Zäziwil,1,3,27,13,0,0,0,0,1,2
Oberhünigen,0,1,0,0,0,0,0,0,0,2
Allmendingen,0,0,3,3,0,0,0,0,0,2
Wichtrach,0,3,19,16,0,0,0,0,1,2
Ferenbalm,0,4,11,11,0,0,0,0,0,2
Frauenkappelen,0,0,4,1,1,0,0,1,0,2
Gurbrü,0,2,0,3,0,0,0,0,0,2
Kriechenwil,0,0,2,0,0,0,0,0,0,2
Laupen,0,1,31,10,0,0,0,0,0,2
Mühleberg,0,2,25,4,0,1,0,1,0,2
Münchenwiler,0,0,5,2,0,0,0,0,0,2
Neuenegg,0,4,20,3,0,1,0,0,0,2
Wileroltigen,0,0,4,7,0,0,0,0,0,2
Belprahon,0,0,4,0,0,0,0,0,0,2
Champoz,0,1,4,0,0,0,0,0,0,2
Corcelles (BE),0,1,5,0,0,0,0,0,0,2
Court,0,2,10,3,0,0,0,0,1,2
Crémines,0,0,5,1,0,0,0,0,0,2
Eschert,0,0,3,0,0,0,0,0,1,2
Grandval,0,0,1,0,0,0,0,0,0,2
Loveresse,0,1,9,0,0,0,0,0,0,2
Perrefitte,0,0,8,0,0,0,0,0,0,2
Reconvilier,0,0,20,8,0,0,0,13,0,2
Roches (BE),0,1,0,1,0,0,0,0,0,2
Saicourt,0,2,12,2,0,0,0,0,0,2
Saules (BE),0,1,1,0,0,0,0,0,0,2
Schelten,0,0,0,0,0,0,0,0,0,2
Seehof,0,0,0,0,0,0,0,0,0,2
Sorvilier,0,0,2,1,0,0,0,0,0,2
Tavannes,0,0,20,5,0,0,0,0,0,2
Rebévelier,0,0,0,0,0,0,0,0,0,2
Petit-Val,0,0,1,3,0,0,0,0,0,2
Valbirse,0,2,55,6,0,0,0,0,0,2
La Neuveville,0,1,10,4,0,0,0,1,0,2
Nods,0,1,10,3,0,0,0,0,2,2
Plateau de Diesse,1,3,32,15,0,0,0,0,1,2
Aegerten,0,0,10,7,0,0,0,0,1,2
Bellmund,0,1,13,3,0,0,0,0,0,2
Brügg,0,1,12,4,0,0,0,0,0,2
Bühl,0,0,4,0,0,0,0,0,1,2
Epsach,0,0,4,1,0,0,0,0,0,2
Hagneck,0,1,6,3,0,0,0,0,0,2
Hermrigen,0,0,6,0,0,0,0,0,0,2
Jens,0,1,1,3,0,0,0,0,0,2
Ipsach,0,1,7,3,0,7,0,0,0,2
Ligerz,0,0,1,13,0,0,0,1,1,2
Merzligen,0,0,4,2,0,0,0,0,0,2
Mörigen,0,0,5,4,0,0,0,0,0,2
Nidau,0,0,1,1,0,8,0,1,2,2
Orpund,0,0,9,5,0,5,0,0,0,2
Port,0,0,11,6,0,2,0,24,1,2
Safnern,0,1,20,7,0,7,0,0,1,2
Scheuren,0,0,3,4,0,0,0,0,0,2
